upri,ProcessRoleIdentifierType,144,1,,,,,ProcessRoleIdentifier
upi,KnownPartnerContactType,145,1,,,,KnownPartnerContact
uci,ContactInformationType,146,0..n,,,,,ContactInformation
udt,ContactType,147,1,,,,,,Contact
xs,string,148,0..1,,,,,,Email
xs,string,149,0..1,,,,,,Fax
xs,string,150,0..1,,,,,,Identifier
xs,string,151,0..1,,,,,,Phone
upi,KnownPartnerType,152,1,,,,,KnownPartner
upi,PartnerIdentificationType,153,1,,,,,,PartnerIdentification
xs,string,154,0..1,,,,,,,PartnerName
,,155,1,,,,,,,Choice
ulc,AlternativeIdentifierType,156,1..n,,,,,,,,AlternativeIdentifier
xs,string,157,1,,,,,,,,,Authority
xs,string,158,1,,,,,,,,,Identifier
udt,DUNSType,159,1,,,,,,,,DUNS
udt,DUNSPlus4Type,160,1,,,,,,,,DUNSPlus4
udt,GLNType,161,1,,,,,,,,GLN
upri,ProcessRoleIdentifierType,162,1,,,,,,ProcessRoleIdentifier
upi,NewPartnerType,163,1,,,,NewPartner
uci,ContactInformationType,164,1..n,,,,,ContactInformation
udt,ContactType,165,1,,,,,,Contact
xs,string,166,0..1,,,,,,Email
xs,string,167,0..1,,,,,,Fax
xs,string,168,0..1,,,,,,Identifier
xs,string,169,0..1,,,,,,Phone
ulc,LocationType,170,1,,,,,Location
,,171,1,,,,,,Choice
ulc,AlternativeIdentifierType,172,1..n,,,,,,,AlternativeIdentifier
xs,string,173,1,,,,,,,,Authority
xs,string,174,1,,,,,,,,Identifier
udt,DUNSType,175,1,,,,,,,DUNS
udt,DUNSPlus4Type,176,1,,,,,,,DUNSPlus4
udt,GLNType,177,1,,,,,,,GLN
upi,PartnerIdentificationType,178,1..n,,,,,PartnerIdentification
xs,string,179,0..1,,,,,,PartnerName
,,180,1,,,,,,Choice
ulc,AlternativeIdentifierType,181,1..n,,,,,,,AlternativeIdentifier
xs,string,182,1,,,,,,,,Authority
xs,string,183,1,,,,,,,,Identifier
udt,DUNSType,184,1,,,,,,,DUNS
udt,DUNSPlus4Type,185,1,,,,,,,DUNSPlus4
udt,GLNType,186,1,,,,,,,GLN
ulc,PhysicalAddressType,187,1,,,,,PhysicalAddress
xs,string,188,1,,,,,,AddressLine1
xs,string,189,0..1,,,,,,AddressLine2
xs,string,190,0..1,,,,,,AddressLine3
xs,string,191,0..1,,,,,,AddressLine4
xs,string,192,0..1,,,,,,AddressLine5
xs,string,193,1,,,,,,CityName
uc,CountryType,194,1,,,,,,Country
ucs,CountrySubdivisionType,195,0..1,,,,,,CountrySubdivision
xs,string,196,0..1,,,,,,PostalCode
xs,string,197,0..1,,,,,,PostOfficeBox
upri,ProcessRoleIdentifierType,198,1,,,,,ProcessRoleIdentifier
,ProductPriceAndAvailabilityType,199,1..n,,ProductPriceAndAvailability
xs,boolean,200,1,,,IsAdditionalInformationAllowed
dp,PriceConditionType,201,0..1,,,PriceCondition
udc,BusinessDocumentReferenceType,202,0..1,,,,ContractIdentifier
xs,dateTime,203,0..1,,,,,DateTime
udct,DocumentTypeType,204,1,,,,,DocumentType
xs,string,205,1,,,,,Identifier
xs,string,206,0..1,,,,,Line
xs,string,207,0..1,,,,,Revision
xs,string,208,0..1,,,,,SubLine
udc,BusinessDocumentReferenceType,209,0..1,,,,GeneralServiceAdministrationNumber
xs,dateTime,210,0..1,,,,,DateTime
udct,DocumentTypeType,211,1,,,,,DocumentType
xs,string,212,1,,,,,Identifier
xs,string,213,0..1,,,,,Line
xs,string,214,0..1,,,,,Revision
xs,string,215,0..1,,,,,SubLine
xs,string,216,0..1,,,,SpecialPriceCondition
ud,DatePeriodType,217,0..1,,,,SpecialPricingDatePeriod
xs,date,218,1,,,,,Begin
xs,date,219,1,,,,,End
xs,string,220,0..1,,,PriceListIdentifier
rptc,PricingTypeCodeType,221,0..n,,,PricingTypeCode
,ProductPriceAndAvailabilityLineItemType,222,1..n,,,ProductPriceAndAvailabilityLineItem
ud,DatePeriodType,223,0..1,,,,EstimatedAvailabilityDate
xs,date,224,1,,,,,Begin
xs,date,225,1,,,,,End
xs,string,226,1,,,,LineNumber
dp,PriceListType,227,0..n,,,,PriceList
sha,MonetaryAmountType,228,0..1,,,,,MonetaryAmount
rat,AmountTypeType,229,0..1,,,,,,AmountType
ume,FinancialAmountType,230,1,,,,,,FinancialAmount
xs,float,231,1,,,,,,,Amount
ucr,CurrencyType,232,1,,,,,,,Currency
rict,InvoiceChargeTypeType,233,0..1,,,,,,InvoiceChargeType
rmat,MonetaryAmountTypeType,234,0..1,,,,,,MonetaryAmountType
xs,string,235,1,,,,,PriceListIdentifier
rptc,PricingTypeCodeType,236,0..1,,,,,PricingTypeCode
rptc,PricingTypeCodeType,237,0..1,,,,PricingTypeCode
dp,ProductAvailabilityType,238,1..n,,,,ProductAvailability
uc,CountryType,239,0..1,,,,,CountryOfOrigin
ud,DatePeriodType,240,0..1,,,,,EstimatedAvailabilityDate
xs,date,241,1,,,,,,Begin
xs,date,242,1,,,,,,End
sha,ProductQuantityType,243,1,,,,,ProductQuantity
updi,ProductIdentificationType,244,1,,,,ProductIdentification
xs,string,245,0..1,,,,,ProductName
xs,string,246,0..1,,,,,Revision
,,247,1,,,,,Choice
ulc,AlternativeIdentifierType,248,1..n,,,,,,AlternativeIdentifier
xs,string,249,1,,,,,,,Authority
xs,string,250,1,,,,,,,Identifier
udt,GTINType,251,1,,,,,,GTIN
dp,ProductPricingDetailType,252,0..1,,,,ProductPricingDetail
rptc,PricingTypeCodeType,253,0..1,,,,,PricingTypeCode
sha,MonetaryAmountType,254,1,,,,,UnitPrice
rat,AmountTypeType,255,0..1,,,,,,AmountType
ume,FinancialAmountType,256,1,,,,,,FinancialAmount
xs,float,257,1,,,,,,,Amount
ucr,CurrencyType,258,1,,,,,,,Currency
rict,InvoiceChargeTypeType,259,0..1,,,,,,InvoiceChargeType
rmat,MonetaryAmountTypeType,260,0..1,,,,,,MonetaryAmountType
rpsc,ProductStatusCodeType,261,0..1,,,,ProductStatusCode
uuom,UnitOfMeasureType,262,0..n,,,,UnitOfMeasure
dp,WarehouseInformationType,263,0..n,,,,WarehouseInformation
dp,WarehouseLocationType,264,1,,,,,WarehouseLocation
,,265,1,,,,,,Choice
ulc,LocationType,266,1,,,,,,,Location
,,267,1,,,,,,,,Choice
ulc,AlternativeIdentifierType,268,1..n,,,,,,,,,AlternativeIdentifier
xs,string,269,1,,,,,,,,,,Authority
xs,string,270,1,,,,,,,,,,Identifier
udt,DUNSType,271,1,,,,,,,,,DUNS
udt,DUNSPlus4Type,272,1,,,,,,,,,DUNSPlus4
udt,GLNType,273,1,,,,,,,,,GLN
ulc,PhysicalAddressType,274,1,,,,,,,PhysicalAddress
xs,string,275,1,,,,,,,,AddressLine1
xs,string,276,0..1,,,,,,,,AddressLine2
xs,string,277,0..1,,,,,,,,AddressLine3
xs,string,278,0..1,,,,,,,,AddressLine4
xs,string,279,0..1,,,,,,,,AddressLine5
xs,string,280,1,,,,,,,,CityName
uc,CountryType,281,1,,,,,,,,Country
ucs,CountrySubdivisionType,282,0..1,,,,,,,,CountrySubdivision
xs,string,283,0..1,,,,,,,,PostalCode
xs,string,284,0..1,,,,,,,,PostOfficeBox
dp,WarehouseQuantityInformationType,285,0..n,,,,,WarehouseQuantityInformation
ud,DatePeriodType,286,0..1,,,,,,WarehouseAvailabilityDate
xs,date,287,1,,,,,,,Begin
xs,date,288,1,,,,,,,End
sha,ProductQuantityType,289,0..1,,,,,,WarehouseQuantity
